"Широта";"Долгота";"Описание";"Подпись";"Номер метки"
55.6536266;37.6469331;"Каширское ш., 26, Москва, Россия, 115522";"2922";1
55.5360235;37.6388956;"ул. Сухановская, 1 корпус 1, Лопатино, Московская обл., Россия, 142702";"B360";2
55.8038087;37.3086866;"М-9, Красногорск, Московская обл., Россия";"B563";3
55.7872042;37.5663403;"Ленинградский пр-т., 36, Москва, Россия, 125167";"B008";4
55.6457229;37.52157529999999;"ул. Миклухо-Маклая, 37, Москва, Россия, 117485";"2106";5
55.85888929999999;37.5109002;"ул. Онежская, 34 корпус 1, Москва, Россия, 125413";"2078";6
55.8503501;37.4445964;"Сходненская ул., 56, Москва, Россия, 125364";"2388";7
55.8628139;37.4349881;"ТПУ Планерная, Планерная ул., 7, Москва, Россия, 125480";"2318";8
55.86758529999999;37.4932848;"Петрозаводская ул., 24А строение 1, Москва, Россия, 125502";"B309";9
55.8756755;37.5659168;"Керамический пр-д, 51, Москва, Россия, 127540";"2712";10
55.8977353;37.5788659;"Череповецкая ул., 18, Москва, Россия, 127576";"B109";11
55.8989079;37.5850715;"Череповецкая ул., 17, Москва, Россия, 127572";"2047";12
55.887766;37.037099;"дачный, 12, Снегири, Московская обл., Россия, 143590";"B104";13
55.7999211;37.3967934;"Таллинская ул., 7, Москва, Россия, 123458";"2415";14
55.8036995;37.8005665;"Сиреневый б-р, 31, Москва, Россия, 105215";"B379";15
55.68618559999999;37.8552457;"ул. Авиаконструктора Миля, 7, Москва, Россия, 109156";"2833";16
55.7765548;37.5240288;"Хорошёвское ш., 27, Москва, Россия, 123007";"2638";17
55.7377872;37.8568533;"ул. Новокосинская, 14а, Москва, Россия, 111672";"2000";18
55.7536509;37.8817408;"Юбилейный пр., 57, Реутов, Московская обл., Россия, 143969";"B488";19
55.76710070000001;37.8288948;"Саянская ул., 8А, Москва, Россия, 111555";"2151";20
55.772692;37.8211669;"Магнитогорская ул., 2, Москва, Россия, 105568";"2825";21
55.7917892;37.7879255;"ул. Первомайская, 42, Москва, Россия, 105043";"2414";22
55.78276;37.726592;"ул. Щербаковская, 7, А, Москва, Россия, 105318";"2018";23
55.70762;37.6206143;"Большая Тульская ул., 2, Москва, Россия, 115191";"2581";24
55.68225589999999;37.7026936;"Коломенская ул., 7, Москва, Россия, 115142";"2276";25
55.675128;37.7237599;"Шоссейная ул., 49, Москва, Россия, 109383";"B046";26
55.6598012;37.7496474;"ул. Перерва, 43, стр. 1, Москва, Россия, 109341";"2823";27
55.6536032;37.6205457;"ТДЦ «ВАРШАВСКИЙ», Варшавское ш., 87Б, Москва, Россия, 117556";"2325";28
55.6406114;37.60823;"Балаклавский пр., 5А, Москва, Россия, 117639";"B491";29
55.7419496;37.6163089;"ул. Большая Полянка, 28 корпус 1, Москва, Россия, 119180";"2108";30
55.6257805;37.3060841;"ул. Летчика Ульянина, 5, Москва, Россия, 119027";"2641";31
55.6070218;37.5130771;"Голубинская ул., 5, Москва, Россия, 117574";"2115";32
55.600312;37.539012;"ул. Паустовского, 6, к. 1, Москва, Россия, 117463";"2350";33
55.93679299999999;37.4926395;"Лихачевский просп., 76а, Долгопрудный, Московская обл., Россия, 141707";"B180";34
55.98715259999999;37.2021514;"Зеленоград, Москва, Россия";"2076";35
55.8440307;37.63742269999999;"ул. Вильгельма Пика, 11, Москва, Россия, 129226";"B516";36
55.7805575;37.66615890000001;"Краснопрудная ул., 13А, Москва, Россия, 107140";"2051";37
55.78059039999999;37.634776;"Протопоповский пер., 3, Москва, Россия";"B440";38
55.73737999999999;37.66362;"Марксистская ул., 1, Москва, Россия, 109147";"2458";39
55.5406578;37.7184028;"ул. Березовая, 8, Видное, Московская обл., Россия, 142701";"2729";40
55.7016562;37.9324735;"Покровская ул., 18 стр 1, Москва, Россия, 111674";"B497";41
55.4171546;38.24683390000001;"Каширский пер., 66, Бронницы, Московская обл., Россия, 140170";"B196";42
56.2273409;43.4161486;"пр. Циолковского, 61, Дзержинск, Нижегородская обл., Россия, 606029";"B231";43
56.2593022;43.8567078;"ул. Плотникова, 3А, Нижний Новгород, Нижегородская обл., Россия, 603138";"B200";44
55.7522122;49.2277228;"ул. Кул Гали, 9а, Казань, Респ. Татарстан, Россия, 420141";"B257";45
55.8028826;49.18448679999999;"Сибирский Tракт, 34 корпус 1, Казань, Респ. Татарстан, Россия, 420029";"2284";46
53.4991326;49.2884343;"ул. Спортивная, 4В, Тольятти, Самарская обл., Россия, 445057";"B028";47
