"routename","from","to","drive_dur","drive_len","transit_dur","transit_len"
Афанасьевский,"Большой Афанасьевский пер., 28, Москва, Россия, 119019","Александровский Сад, Москва, Россия, 125009",733,3229,929,2077
Резиденция Знаменка,"Знаменка ул., 9 строение 1, Москва, Moscow Oblast, Россия, 119019","Александровский Сад, Москва, Россия, 125009",713,3070,604,1371
Гранатный 6,"Гранатный пер., владение 6, Москва, Россия, 123001","Александровский Сад, Москва, Россия, 125009",1057,4373,1780,3002
Курс Хаус Course House,"Пречистенская наб., 19, Москва, Россия, 119034","Александровский Сад, Москва, Россия, 125009",414,2005,1254,2704
Сытинский,"Богословский пер., 12А, Москва, Россия, 123104","Александровский Сад, Москва, Россия, 125009",1073,4546,1064,2346
Клубный дом на Смоленском б-ре,"Смоленский б-р, 22/14 строение 8, Москва, Россия, 119002","Александровский Сад, Москва, Россия, 125009",870,3452,1584,4159
Печатников 3,"Печатников пер., 20 стр.1, Москва, Россия, 107045","Александровский Сад, Москва, Россия, 125009",1384,8328,1398,2381
Дом Гельриха,"Пречистенский пер., 14, Москва, Россия, 119034","Александровский Сад, Москва, Россия, 125009",739,3172,849,2377
Еропкинский,"ул. Пречистенка, 23, Москва, Россия, 119034","Александровский Сад, Москва, Россия, 125009",698,2995,788,2745
Булгаков,"123001, Большой Козихинский пер., 25, Москва, Россия, 123001","Александровский Сад, Москва, Россия, 125009",1176,4727,1148,2471
Арт Хаус,"Серебряническая наб., 19, Москва, Россия, 109028","Александровский Сад, Москва, Россия, 125009",680,3606,1772,3650
Имперский Дом,"Якиманский пер., д. 6, стр. 1, Москва, Россия, 119049","Александровский Сад, Москва, Россия, 125009",853,3975,1400,4258
Шоколад,"ул. Земляной Вал, 68с1, Москва, Россия, 109004","Александровский Сад, Москва, Россия, 125009",866,4161,1993,4608
Бурденко 3,"Новоконюшенный пер., 3, Москва, Россия, 119121","Александровский Сад, Москва, Россия, 125009",855,4642,1714,4452
Трилогия,"ул. Трехгорный Вал, 14 строение 5, Москва, Moscow Oblast, Россия, 123022","Александровский Сад, Москва, Россия, 125009",1408,7896,2648,5655
Дом на Пресне,"ул. Пресненский Вал, 16/21, Москва, Россия, 123557","Александровский Сад, Москва, Россия, 125009",1444,8258,1184,5386
Дом на Девичьем поле,"Большая Пироговская ул., 8, Москва, Россия, 119435","Александровский Сад, Москва, Россия, 125009",1106,6019,1686,6529
Обыкновенное чудо,"Пудовкина ул., 7в, Москва, Россия, 129347","Александровский Сад, Москва, Россия, 125009",1444,9336,2011,8391
Дом на Мосфильмовской,"Мосфильмовская ул., 8, Москва, Россия, 119285","Александровский Сад, Москва, Россия, 125009",1606,9977,2119,9027
Бориса Жигуленкова 7-9,"ул д, ул. Бориса Жигуленкова, 7, Москва, Россия, 105118","Александровский Сад, Москва, Россия, 125009",1756,11909,2549,10548
Лечебная 14,"Фортунатовская ул., 10, Москва, Россия, 105187","Александровский Сад, Москва, Россия, 125009",1858,13341,2346,10848
Айлант,"ул. Веерная, 6, Москва, Россия, 119501","Александровский Сад, Москва, Россия, 125009",1871,15674,3118,19039
Новые Кузьминки квартал 117,"Волгоградский пр-т., 115 корпус 3, Москва, Россия, 109117","Александровский Сад, Москва, Россия, 125009",1783,13045,2170,13011
Измайловский,"ул. Первомайская, 42, Москва, Россия, 105043","Александровский Сад, Москва, Россия, 125009",2292,17284,2259,12607
Эмеральд,"Ленинский пр-т., 103, Москва, Россия, 119421","Александровский Сад, Москва, Россия, 125009",1744,13214,2756,14098
Мичурино,"Большая Очаковская ул., д. 3, Москва, Россия, 119361","Александровский Сад, Москва, Россия, 125009",1834,17650,2973,17021
Квартал 126 ,"ул. Академика Скрябина, 6, Москва, Россия, 109377","Александровский Сад, Москва, Россия, 125009",1898,15891,2514,15595
Солнце,"Ярцевская ул., 32, Москва, Россия, 121552","Александровский Сад, Москва, Россия, 125009",1732,17359,2164,15157
Лайф Сходненская,"Химкинский б-р, 6, Москва, Россия, 125364","Александровский Сад, Москва, Россия, 125009",2481,20507,4030,17834
Холмогоры,"Холмогорская ул., 2 корпус 3, Москва, Россия, 129347","Александровский Сад, Москва, Россия, 125009",2389,21575,2902,17300
Лермонтовский,"пр. Лермонтова, 36, Люберцы, Московская обл., Россия, 140002","Александровский Сад, Москва, Россия, 125009",2369,21467,3175,20552
Новотроицкий,"Завода Мосрентген пос., 6В, завода Мосрентген, Moscow Oblast, Россия, 142771","Александровский Сад, Москва, Россия, 125009",2677,22518,4145,22971
Дом на Зеленой,"76, Люберцы, Московская обл., Россия, 140002","Александровский Сад, Москва, Россия, 125009",2466,22503,3501,22125
Левобережная дубрава,"141406, ул. Нахимова, 2А, Химки, Московская обл., Россия, 141406","Александровский Сад, Москва, Россия, 125009",2645,26233,2913,21571
Васко да Гама,"4корпус1, ул. Ватутина, 4 корпус 1, Химки, Московская обл., Россия, 141402","Александровский Сад, Москва, Россия, 125009",2589,25023,3846,21068
Цветочный город,"Октябрьский пр., 6а, Мытищи, Московская обл., Россия, 141014","Александровский Сад, Москва, Россия, 125009",3048,31109,3041,19930
Совхоз имени Ленина,"19, Развилка, Московская обл., Россия, 142717","Александровский Сад, Москва, Россия, 125009",2778,25274,3976,25774
Салтыковка-Престиж,"Салтыковка-Престиж ЖК, 3 корпус 6, Салтыковка, Moscow Oblast, Россия, 143982","Александровский Сад, Москва, Россия, 125009",3077,27788,3852,21989
Лесная сказка,"6, Балашиха, Московская обл., Россия, 143909","Александровский Сад, Москва, Россия, 125009",3296,30925,4271,23601
Красный кит,"Шараповский пр-д, 2 стр. 4, Мытищи, Московская обл., Россия, 141002","Александровский Сад, Москва, Россия, 125009",2734,28901,11101,47458
Реал Парк,"Лесная ул., 12, Красногорск, Московская обл., Россия, 143403","Александровский Сад, Москва, Россия, 125009",3003,27317,5839,27798
Чернево-2,"ул. Успенская, 11, Красногорск, Московская обл., Россия, 143409","Александровский Сад, Москва, Россия, 125009",3063,28790,5319,25808
Дом на виду,"просп. Ленинского Комсомола, 2 корпус 4, Видное, Московская обл., Россия, 142701","Александровский Сад, Москва, Россия, 125009",3161,29799,5218,32676
Центральный (Железнодорожный),"Школа, ул. Маяковского, Железнодорожный, Московская обл., Россия, 143989","Александровский Сад, Москва, Россия, 125009",3615,33172,4217,27478
Суханово Парк,"5, Суханова Парк Жк, Московская обл., Россия, 142702","Александровский Сад, Москва, Россия, 125009",3465,32726,6417,33221
Тарасовка,"Центральная ул., 1, Тарасовка, Московская обл., Россия, 141212","Александровский Сад, Москва, Россия, 125009",2756,34117,18811,43620
Гвардейский,"ул. 7-ой Гвардейской Дивизии, 4, Химки, Московская обл., Россия, 141421","Александровский Сад, Москва, Россия, 125009",3437,35366,3890,34871
