,Название,Сеть,Адрес,Город,Оборудование в магазине,Статус поддержки,tClients,name_combined,adr_tocheck,geometry.location.lat,geometry.location.lng,formatted_address,locality,administrative_area_level_2,administrative_area_level_1,route,street_number
0,ПМ1,Патрик&Мари,"ул.Атарбекова, 5",Краснодар,ПМ1_ESL-SES,Архивный,,ПМ1,"Краснодар ул.Атарбекова, 5",45.05979989999999,38.9467187,"ул. Атарбекова, 5, Краснодар, Краснодарский край, Россия, 350062",Краснодар,город Краснодар,Краснодарский край,улица Атарбекова,5
1,ПМ2,Патрик&Мари,"ул.Зиповская, 5\4",Краснодар,ПМ2_ESL-SES,Архивный,,ПМ2,"Краснодар ул.Зиповская, 5\4",45.0615286,38.9987302,"ул. Зиповская, 5/4, Краснодар, Краснодарский край, Россия, 350032",Краснодар,город Краснодар,Краснодарский край,улица Зиповская,5/4
2,ПМ3,Патрик&Мари,"ул.Кубано-Набережная, 35а",Краснодар,ПМ3_ESL-SES,Архивный,,ПМ3,"Краснодар ул.Кубано-Набережная, 35а",44.9960569,39.1070075,"ул. Кубанонабережная, 35, Краснодар, Краснодарский край, Россия, 350910",Краснодар,город Краснодар,Краснодарский край,улица Кубанонабережная,35
3,ПМ4,Патрик&Мари,"ул.Проспект Чекистов, 17",Краснодар,ПМ4_ESL-SES,Архивный,,ПМ4,"Краснодар ул.Проспект Чекистов, 17",45.0314735,38.9126584,"пр. Чекистов, 17, Краснодар, Краснодарский край, Россия, 350089",Краснодар,город Краснодар,Краснодарский край,проспект Чекистов,17
4,ПМ5,Патрик&Мари,"ул.Красная, 155",Краснодар,ПМ5_ESL-SES,Архивный,,ПМ5,"Краснодар ул.Красная, 155",45.0495427,38.9787036,"ул. Красная, 155, Краснодар, Краснодарский край, Россия, 350020",Краснодар,город Краснодар,Краснодарский край,улица Красная,155
5,ПМ6,Патрик&Мари,"ул.1 Мая, 168",Краснодар,ПМ6_ESL-SES,Архивный,,ПМ6,"Краснодар ул.1 Мая, 168",45.0563756,39.022966,"ул. 1 Мая, 168, Краснодар, Краснодарский край, Россия, 350901",Краснодар,город Краснодар,Краснодарский край,улица 1 Мая,168
6,ПМ7,Патрик&Мари,"ул.Красная, 158",Краснодар,ПМ7_ESL-SES,Архивный,,ПМ7,"Краснодар ул.Красная, 158",45.0396009,38.9763795,"ул. Красная, 158, Краснодар, Краснодарский край, Россия, 350015",Краснодар,город Краснодар,Краснодарский край,улица Красная,158
7,ПМ8,Патрик&Мари,"ул.Красноармейская, 50",Краснодар,ПМ8_ESL-SES,Архивный,,ПМ8,"Краснодар ул.Красноармейская, 50",45.0235607,38.97251410000001,"Красноармейская ул., 50, Краснодар, Краснодарский край, Россия, 350000",Краснодар,город Краснодар,Краснодарский край,Красноармейская улица,50
8,ПМ9,Патрик&Мари,"ул.Шоссе Нефтяников, 63",Краснодар,ПМ9_ESL-ZKong,Архивный,,ПМ9,"Краснодар ул.Шоссе Нефтяников, 63",45.0693087,38.9815768,"ул. ш. Нефтяников, 63, Краснодар, Краснодарский край, Россия, 350051",Краснодар,город Краснодар,Краснодарский край,улица шоссе Нефтяников,63
9,ПМ10,Патрик&Мари,"ул.Яна Полуяна, 43",Краснодар,ПМ10_ESL-SES,Архивный,,ПМ10,"Краснодар ул.Яна Полуяна, 43",45.06381210000001,38.9596211,"ул. Яна Полуяна, 43, Краснодар, Краснодарский край, Россия, 350062",Краснодар,город Краснодар,Краснодарский край,улица Яна Полуяна,43
10,ПМ11,Патрик&Мари,"ул.Ставропольская, 140",Краснодар,ПМ11_ESL-ZKong,Архивный,,ПМ11,"Краснодар ул.Ставропольская, 140",45.0198295,39.0037274,"ул. Ставропольская, 140, Краснодар, Краснодарский край, Россия, 350001",Краснодар,город Краснодар,Краснодарский край,улица Ставропольская,140
11,ПМ12,Патрик&Мари,ул.40 лет Победы 117,Краснодар,ПМ12_ESL-SES,Архивный,,ПМ12,Краснодар ул.40 лет Победы 117,45.0562478,39.03052350000001,"ул. 40-летия Победы, 117, Краснодар, Краснодарский край, Россия, 350901",Краснодар,город Краснодар,Краснодарский край,улица 40-летия Победы,117
12,ПМ13,Патрик&Мари,ул.3й Звенигородский проезд 81,Краснодар,ПМ13_ESL-SES,Архивный,,ПМ13,Краснодар ул.3й Звенигородский проезд 81,45.12444360000001,38.97039669999999,"3-й Звенигородский пр., 81, Краснодар, Краснодарский край, Россия, 350900",Краснодар,город Краснодар,Краснодарский край,3-й Звенигородский проезд,81
13,ПМ14,Патрик&Мари,ул.Петра Метальникова 3/1 к1,Краснодар,ПМ14_ESL-SES,Архивный,,ПМ14,Краснодар ул.Петра Метальникова 3/1 к1,45.0937904,39.004218,"ул. Петра Метальникова, 3/1 корпус 1, Краснодар, Краснодарский край, Россия, 350087",Краснодар,город Краснодар,Краснодарский край,улица Петра Метальникова,3/1 корпус 1
14,ПМ15,Патрик&Мари,ул.Сормовская 108/2,Краснодар,ПМ15_ESL-SES,Архивный,,ПМ15,Краснодар ул.Сормовская 108/2,45.0224757,39.0547089,"ул. Сормовская, 108/2, Краснодар, Краснодарский край, Россия, 350018",Краснодар,город Краснодар,Краснодарский край,улица Сормовская,108/2
15,ПМ16,Патрик&Мари,ул.Красных Партизан 1/4 к2,Краснодар,ПМ16_ESL-SES,Архивный,,ПМ16,Краснодар ул.Красных Партизан 1/4 к2,45.0810046,38.8979331,"ул. Красных Партизан, 1/4 корпус 2, Краснодар, Краснодарский край, Россия, 350012",Краснодар,город Краснодар,Краснодарский край,улица Красных Партизан,1/4 корпус 2
16,ПМ17,Патрик&Мари,ул.Кубанская 54,Краснодар,ПМ17_ESL-SES,Архивный,,ПМ17,Краснодар ул.Кубанская 54,45.0209339,39.0858708,"ул. Кубанская, 54, Краснодар, Краснодарский край, Россия, 350911",Краснодар,город Краснодар,Краснодарский край,улица Кубанская,54
17,ПМ 18,Патрик&Мари,"ул.Восточно-Кругликовская, 18",Краснодар,ПМ 18_ESL-SES,Архивный,,ПМ 18,"Краснодар ул.Восточно-Кругликовская, 18",45.0464615,39.0275056,"ул. Восточно-Кругликовская, 18, Краснодар, Краснодарский край, Россия, 350901",Краснодар,город Краснодар,Краснодарский край,улица Восточно-Кругликовская,18
18,ПМ 19,Патрик&Мари,Ст Динская ул. Красная 64,Краснодар,ПМ 19_ESL-ZKong,Архивный,,ПМ 19,Краснодар Ст Динская ул. Красная 64,45.215297,39.2278666,"ул. Красная, 64, Динская, Краснодарский край, Россия, 353204",Динская,Динской район,Краснодарский край,улица Красная,64
19,ПМ20,Патрик&Мари,ул.40 лет Победы 33Г,Краснодар,ПМ20_ESL-ZKong,Архивный,,ПМ20,Краснодар ул.40 лет Победы 33Г,45.055811,39.003664,"улица имени, 33Г, Краснодар, Краснодарский край, Россия, 350000",Краснодар,город Краснодар,Краснодарский край,улица имени,33Г
20,ПМ21,Патрик&Мари,"Сочи, ул.Московская 3к5",Сочи,ПМ21_ESL-ZKong,Архивный,,ПМ21,"Сочи Сочи, ул.Московская 3к5",43.5930151,39.7245312,"ул. Московская, 3 корп 5, Сочи, Краснодарский край, Россия, 354000",Сочи,город-курорт Сочи,Краснодарский край,улица Московская,3 корп 5
21,ПМ22,Патрик&Мари,бульвар Адмиралтейский 3/1,Краснодар,ПМ22_ESL-ZKong,Архивный,,ПМ22,Краснодар бульвар Адмиралтейский 3/1,45.1029924,39.0869009,"Адмиралтейская ул., 3, Индустриальный, Краснодарский край, Россия, 350056",Индустриальный,город Краснодар,Краснодарский край,Адмиралтейская улица,3
22,Алексеева 24,Killer Price,г. Красноярск ул. Алексеева 24 оф. 41 магазин «Killprice»,Красноярск,Алексеева 24_ESL-ZKong,Архивный,,Алексеева 24,Красноярск г. Красноярск ул. Алексеева 24 оф. 41 магазин «Killprice»,56.0534566,92.9110269,"ул. Алексеева, 24, 41, Красноярск, Красноярский край, Россия, 660098",Красноярск,город Красноярск,Красноярский край,улица Алексеева,24
23,Варшавка 1,Smeg,"Варшавское ш., 1с1-2",Москва,Варшавка 1_ESL-SES,На поддержке,,Варшавка 1,"Москва Варшавское ш., 1с1-2",55.6159372,37.6114405,"Варшавское ш., 1 стр. 1, 2, Москва, Россия, 117105",Москва,Москва,Москва,Варшавское шоссе,1 стр. 1
24,Красный 22,Smeg,"Красный проспект, 22",Новосибирск,Красный 22_ESL-ZKong,На поддержке,,Красный 22,"Новосибирск Красный проспект, 22",55.0228767,82.9229879,"Красный пр-т., 22, Новосибирск, Новосибирская обл., Россия, 630007",Новосибирск,город Новосибирск,Новосибирская область,Красный проспект,22
25,Зубовская 7,Miele,"   Зубовская ул., 7",Москва,Зубовская 7_ESL-ZKong,На гарантии,,Зубовская 7,"Москва    Зубовская ул., 7",55.7370008,37.583455,"Зубовская ул., 7, Москва, Россия, 119034",Москва,Москва,Москва,Зубовская улица,7
26,6976,Пятёрочка,"г.Долгопрудный, Парковая ул., 36",МО,6976_ESL-SES,Нет активной поддержки,,6 976,"МО г.Долгопрудный, Парковая ул., 36",55.9522211,37.4952602,"Парковая ул., 36, Долгопрудный, Московская обл., Россия, 141702",Долгопрудный,Городской округ Долгопрудный,Московская область,Парковая улица,36
27,3495,Пятёрочка,г. Хотьково,МО,3495_ESL-SES,Нет активной поддержки,,3 495,МО г. Хотьково,56.2535371,37.9772291,"Хотьково, Московская обл., Россия",Хотьково,Сергиево-Посадский городской округ,Московская область,,
28,6462,Пятёрочка,г. Батайск ул. Тельмана 2б,Батайск,6462_ESL-SES,Нет активной поддержки,,6 462,Батайск г. Батайск ул. Тельмана 2б,47.133669,39.767422,"ул. Тельмана, 2Б, Батайск, Ростовская обл., Россия, 346884",Батайск,город Батайск,Ростовская область,улица Тельмана,2Б
29,L615,Пятёрочка,"г. Орел, ул. Металлургов 19",Орел,L615_ESL-SES,Нет активной поддержки,,L615,"Орел г. Орел, ул. Металлургов 19",53.0183792,36.132688,"ул. Металлургов, 19, Орёл, Орловская обл., Россия, 302038",Орёл,город Орел,Орловская область,улица Металлургов,19
30,Y726,Пятёрочка,"г. Ярославль, Чкалова 2",Ярославль,Y726_ESL-SES,Нет активной поддержки,,Y726,"Ярославль г. Ярославль, Чкалова 2",57.6379195,39.8572289,"ул. Чкалова, 2, Ярославль, Ярославская обл., Россия, 150054",Ярославль,город Ярославль,Ярославская область,улица Чкалова,2
31,5683,Пятёрочка,г. СПб Наставников 47,СПб,5683_ESL-SES,Нет активной поддержки,,5 683,СПб г. СПб Наставников 47,59.95751980000001,30.4803242,"пр. Наставников, 47, Санкт-Петербург, Россия, 195030",Санкт-Петербург,,Санкт-Петербург,проспект Наставников,47
32,4163,Пятёрочка,"г.Балашиха, Энтузиастов ш., 32",МО,4163_ESL-SES,Нет активной поддержки,,4 163,"МО г.Балашиха, Энтузиастов ш., 32",55.7929949,37.9359196,"ш. Энтузиастов, 32, Балашиха, Московская обл., Россия, 143912",Балашиха,Городской округ Балашиха,Московская область,шоссе Энтузиастов,32
33,5085,Пятёрочка,"Рязань,Касимовское шоссе 25",Рязань,5085_ESL-SES,Нет активной поддержки,,5 085,"Рязань Рязань,Касимовское шоссе 25",54.6225526,39.7862085,"ул. Касимовское ш., 25, Рязань, Рязанская обл., Россия, 390027",Рязань,город Рязань,Рязанская область,улица Касимовское шоссе,25
34,4655,Пятёрочка,"г.Москва, Щепкина ул., 58 стр.3",Москва,4655_ESL-SES,Нет активной поддержки,,4 655,"Москва г.Москва, Щепкина ул., 58 стр.3",55.7851265,37.6299419,"ул. Щепкина, 58 строение 3, Москва, Россия, 129110",Москва,Москва,Москва,улица Щепкина,58 строение 3
35,L260,Пятёрочка,"г. Н.Новгород, Фруктовая, 3",Нижний Новгород,L260_ESL-SES,Нет активной поддержки,,L260,"Нижний Новгород г. Н.Новгород, Фруктовая, 3",56.3181532,44.0538624,"ул. Фруктовая, 3, Нижний Новгород, Нижегородская обл., Россия, 603093",Нижний Новгород,город Нижний Новгород,Нижегородская область,улица Фруктовая,3
36,3818,Пятёрочка,"г.Москва, Маршала Савицкого ул., 6А",Москва,3818_ESL-SES,Нет активной поддержки,,3 818,"Москва г.Москва, Маршала Савицкого ул., 6А",55.505231,37.5792265,"ул. Маршала Савицкого, 6А, Москва, Россия, 117148",Москва,Москва,Москва,улица Маршала Савицкого,6А
37,5285,Пятёрочка,"г. Химки, Сходня, Мичурина, д. 25",МО,5285_ESL-SES,Нет активной поддержки,,5 285,"МО г. Химки, Сходня, Мичурина, д. 25",55.9424682,37.299782,"ул. Мичурина, 25, Химки, Московская обл., Россия, 141420",Химки,Городской округ Химки,Московская область,улица Мичурина,25
38,395b,Пятёрочка,"г. Краснодар Дальний пр. 11, корпус №1, пом.1-28.",Краснодар,395b_ESL-SES,Нет активной поддержки,,395b,"Краснодар г. Краснодар Дальний пр. 11, корпус №1, пом.1-28.",45.062267,38.96434500000001,"пр. Дальний, 11, корпус 1, Краснодар, Краснодарский край, Россия, 350051",Краснодар,город Краснодар,Краснодарский край,проезд Дальний,"11, корпус 1"
39,j519,Пятёрочка,"Московская обл, Орехово-Зуевский р-н, Ликино-Дулево г, 1 Мая ул,4",МО,j519_ESL-SES,Нет активной поддержки,,j519,"МО Московская обл, Орехово-Зуевский р-н, Ликино-Дулево г, 1 Мая ул,4",55.7322777,38.9535685,"ул. 1 Мая, 4, Ликино-Дулёво, Московская обл., Россия, 142671",Ликино-Дулёво,Орехово-Зуевский городской округ,Московская область,улица 1 Мая,4
40,S596,Пятёрочка,"г.Долгопрудный, Академика Лаврентьева ул, 27",МО,S596_ESL-SES,Нет активной поддержки,,S596,"МО г.Долгопрудный, Академика Лаврентьева ул, 27",55.9392147,37.5049019,"ул. Академика Лаврентьева, 27, Долгопрудный, Московская обл., Россия, 141700",Долгопрудный,Городской округ Долгопрудный,Московская область,улица Академика Лаврентьева,27
41,6974,Пятёрочка,"г.Долгопрудный, Пацаева пр-т, 12",МО,6974_ESL-SES,Нет активной поддержки,,6 974,"МО г.Долгопрудный, Пацаева пр-т, 12",55.94869019999999,37.4994264,"пр. Пацаева, 12, Долгопрудный, Московская обл., Россия, 141707",Долгопрудный,Городской округ Долгопрудный,Московская область,проспект Пацаева,12
42,7803,Пятёрочка,"г.Долгопрудный, Спортивная ул., 5, к.1,п.Апте",МО,7803_ESL-SES,Нет активной поддержки,,7 803,"МО г.Долгопрудный, Спортивная ул., 5, к.1,п.Апте",55.9436239,37.4971343,"Спортивная ул., 5 корпус 1, п, Долгопрудный, Московская обл., Россия, 141707",Долгопрудный,Городской округ Долгопрудный,Московская область,Спортивная улица,5 корпус 1
43,33CF,Пятёрочка,"г. Москва, ул. Башиловская, д. 1, к. 1",Москва,33CF_ESL-ZKong,Нет активной поддержки,,33CF,"Москва г. Москва, ул. Башиловская, д. 1, к. 1",55.792846,37.576704,"Башиловская ул., 1, корпус 1, Москва, Россия, 127220",Москва,Москва,Москва,Башиловская улица,"1, корпус 1"
44,33FN,Пятёрочка,"г. Москва, ул. Радиальная 6-я, д. 3, корп. 8",Москва,33FN_ESL-ZKong,Нет активной поддержки,,33FN,"Москва г. Москва, ул. Радиальная 6-я, д. 3, корп. 8",55.6075276,37.6583083,"3, 6, я д, Москва, Россия, 115404",Москва,Москва,Москва,3,6
45,V,Пятёрочка,"г. Москва, Ильменский, 17к1,2",Москва,V_ESL-ZKong,Нет активной поддержки,,V,"Москва г. Москва, Ильменский, 17к1,2",55.861205,37.539373,"Ильменский пр-д, 17 строение 1, 2, Москва, Россия, 127238",Москва,Москва,Москва,Ильменский проезд,17 строение 1
46,35YA,Пятёрочка,"г. Москва, Вятская, 27, 21",Москва,35YA_ESL-ZKong,Нет активной поддержки,,35YA,"Москва г. Москва, Вятская, 27, 21",55.7975822,37.5789596,"Вятская ул., 27/21, Москва, Россия, 127015",Москва,Москва,Москва,Вятская улица,27/21
47,5216,Пятёрочка,"г. Москва, Хабаровская ул., 4",Москва,5216_ESL-ZKong,Нет активной поддержки,,5 216,"Москва г. Москва, Хабаровская ул., 4",55.8144982,37.8263518,"Хабаровская ул., 4, Москва, Россия, 107589",Москва,Москва,Москва,Хабаровская улица,4
48,5351,Пятёрочка,"г. Люберцы, Попова ул., 1",МО,5351_ESL-ZKong,Нет активной поддержки,,5 351,"МО г. Люберцы, Попова ул., 1",55.6958873,37.8908402,"ул. Попова, 1, Люберцы, Московская обл., Россия, 140013",Люберцы,Городской округ Люберцы,Московская область,улица Попова,1
49,L603,Пятёрочка,"Большая Серпуховская улица, 46с34",Москва,L603_ESL-ZKong,Нет активной поддержки,,L603,"Москва Большая Серпуховская улица, 46с34",55.721975,37.6241409,"Большая Серпуховская ул., 46 ст 34, Москва, Россия, 115093",Москва,Москва,Москва,Большая Серпуховская улица,46 ст 34
50,3BSZ,Пятёрочка,"г. Москва, Очаковское шоссе д.5 к.4 (м. Аминьевское)",Москва,3BSZ_ESL-ZKong,Нет активной поддержки,,3BSZ,"Москва г. Москва, Очаковское шоссе д.5 к.4 (м. Аминьевское)",55.6959697,37.4606794,"Очаковское ш., 5А строение 27, Москва, Россия, 119530",Москва,Москва,Москва,Очаковское шоссе,5А строение 27
51,3BT0,Пятёрочка,"г. Москва, Барклая 6А корп. 1",Москва,3BT0_ESL-ZKong,Нет активной поддержки,,3BT0,"Москва г. Москва, Барклая 6А корп. 1",55.7407517,37.5039466,"ул. Барклая, 6, Москва, Россия, 121087",Москва,Москва,Москва,улица Барклая,6
52,3BV1,Пятёрочка,"г. Москва, Сосенское, А. Монаховой, 85к1",Москва,3BV1_ESL-ZKong,Нет активной поддержки,,3BV1,"Москва г. Москва, Сосенское, А. Монаховой, 85к1",55.5676172,37.4819437,"ул. Александры Монаховой, 85, Коммунарка, Москва, Россия, 142770",Коммунарка,Москва,Москва,улица Александры Монаховой,85
53,3BT1,Пятёрочка,"г. Москва, Давыдовская 10",Москва,3BT1_ESL-ZKong,Нет активной поддержки,,3BT1,"Москва г. Москва, Давыдовская 10",55.7219266,37.4728524,"Давыдковская ул., 10, Москва, Россия, 121352",Москва,Москва,Москва,Давыдковская улица,10
54,3BS7,Пятёрочка,"г. Москва, Волоколамское ш. 71к4",Москва,3BS7_ESL-ZKong,Нет активной поддержки,,3BS7,"Москва г. Москва, Волоколамское ш. 71к4",55.8366619,37.2894091,"Волоколамское ш., 71, корпус 4, Москва, Россия, 125310",Москва,Городской округ Красногорск,Москва,Волоколамское шоссе,"71, корпус 4"
55,329,МВидео,"Калужское шоссе, 21-й километр, с1. ТЦ Мега  ",Москва,329_ESL-SES,Поддержка не оплачена,,329,"Москва Калужское шоссе, 21-й километр, с1. ТЦ Мега  ",55.49334229999999,37.3278045,"Калужское ш., 21, Москва, Россия, 142191",Москва,Москва,Москва,Калужское шоссе,21
56,Аэропорт Сочи,Сочи DF,   аэропорт Сочи  ,Сочи,Аэропорт Сочи_ESL-SES,Нет активной поддержки,,Аэропорт Сочи,Сочи    аэропорт Сочи  ,43.4484563,39.9413022,"Международный аэропорт Сочи (Адлер), ул. Мира, 50, Адлер, Краснодарский край, Россия, 354355",Адлер,город-курорт Сочи,Краснодарский край,улица Мира,50
57,201,Спортмастер,"Ленинградское ш., 16А, стр. 4",Москва,201_ESL-SES,Нет активной поддержки,,201,"Москва Ленинградское ш., 16А, стр. 4",55.8227777,37.4974661,"Ленинградское ш., 16А стр 4, Москва, Россия, 125171",Москва,Москва,Москва,Ленинградское шоссе,16А стр 4
58,5780,Спортмастер,"Ходынский бул., 4",Москва,5780_ESL-SES,Нет активной поддержки,,5 780,"Москва Ходынский бул., 4",55.7902813,37.5304166,"Ходынский б-р, 4, Москва, Россия, 125167",Москва,Москва,Москва,Ходынский бульвар,4
59,6664,Спортмастер,"просп. Мира, 211, корп. 2",Москва,6664_ESL-SES,Нет активной поддержки,,6 664,"Москва просп. Мира, 211, корп. 2",55.8448991,37.6598302,"пр-т Мира, 211 корпус 2, Москва, Россия",Москва,Москва,Москва,проспект Мира,211 корпус 2
60,159,Спортмастер,"Варшавское ш., д.129А",Москва,159_ESL-SES,Нет активной поддержки,,159,"Москва Варшавское ш., д.129А",55.614752,37.6127252,"Варшавское ш., 129А, Москва, Россия, 117545",Москва,Москва,Москва,Варшавское шоссе,129А
61,327,Спортмастер,"Ярославское ш. 21-й км, стр. 103",МО,327_ESL-SES,Нет активной поддержки,,327,"МО Ярославское ш. 21-й км, стр. 103",55.98809,37.8678578,"Ярославское ш., 21, Пушкино, Московская обл., Россия, 141205",Пушкино,Пушкинский городской округ,Московская область,Ярославское шоссе,21
62,5876,Спортмастер,"ул. Горная Карусель, 3, село Эстосадок",Сочи,5876_ESL-SES,Нет активной поддержки,,5 876,"Сочи ул. Горная Карусель, 3, село Эстосадок",43.6838731,40.2631084,"ул. Горная Карусель, 3, Эстосадок, Краснодарский край, Россия, 354392",Эстосадок,город-курорт Сочи,Краснодарский край,ул. Горная Карусель,3
63,735,Спортмастер,"Пулковское ш., д.19Б",СПб,735_ESL-SES,Нет активной поддержки,,735,"СПб Пулковское ш., д.19Б",59.82602600000001,30.319699,"Пулковское ш., 19б, Санкт-Петербург, Россия, 196240",Санкт-Петербург,,Санкт-Петербург,Пулковское шоссе,19б
64,6659,Спортмастер,"1-й Покровский пр., 5, Котельники",Москва,6659_ESL-SES,Нет активной поддержки,,6 659,"Москва 1-й Покровский пр., 5, Котельники",55.6576385,37.846899,"1-й Покровский пр-д, 5, Москва, Россия, 140053",Москва,Городской округ Котельники,Москва,1-й Покровский проезд,5
