Название,Сеть,Адрес,Оборудование в магазине,Статус поддержки,tClients,name_combined,Город,Column 11,lat,lon,регион,tInvoices
2234,Перекрёсток,г Сочи ул. Учительская д. 6,,,,2 234,,,,,,
2267,Перекрёсток,"г.Санкт-Петербург, ул. Савушкина",,,,2 267,,,,,,
2268,Перекрёсток,#Н/Д,,,,2 268,,,,,,
2129,Перекрёсток,"Санкт-Петербург, пр-кт. Богатырский, 7",,,,2 129,,,,,,
2274,Перекрёсток,"г Санкт-Петербург, ул. Балканская, 5",,,,2 274,,,,,,
2857,Перекрёсток,"Санкт-Петербург, ул. Вокзальная, 7, лит. Б",,,,2 857,,,,,,
B132,Перекрёсток,"Г.Москва Дмитровское шоссе стр.80, стр. 1",,,,B132,,,,,,
B202,Перекрёсток,"г.Москва,п.Московский,г.Московский, Никитина ул, 2",,,,B202,,,,,,
2858,Перекрёсток,"г. Колпино, б-р. Трудящихся, 12, лит. А",,,,2 858,,,,,,
2823,Перекрёсток,"г.Москва, Перерва ул, 43 к.1",,,,2 823,,,,,,
В339,Перекрёсток,#Н/Д,,,,В339,,,,,,
2360,Перекрёсток,"г. Москва Микрорайон Северное Чертаново, д.1А",,,,2 360,,,,,,
2656,Перекрёсток,"Санкт-Петербург, уч.ж.д.""ул.Юннатов-ст.Рыбацкое, ЛИТ.Е, ч.п. 1-Н(ч.к.17,к.19-49),",,,,2 656,,,,,,
B171,Перекрёсток,"г. Петрозаводск, пл. Ленина, Дом 14",,,,B171,,,,,,
2591,Перекрёсток,"г.Нижний Новгород Большая Покровская ул. 82. ",,,,2 591,,,,,,
2115,Перекрёсток,"г.Москва, ул. Голубинская, д. 5, кор. 1",,,,2 115,,,,,,
2634,Перекрёсток,"г.Москва, Мичуринский пр-кт, ул. Олимпийская деревня, д.3 корп.1",,,,2 634,,,,,,
2710,Перекрёсток,"МО, п.Совхоза им.Ленина, 5А",,,,2 710,,,,,,
2581,Перекрёсток,"г.Москва, ул. Большая Тульская, д.2",,,,2 581,,,,,,
2556,Перекрёсток,"г.Москва, ул.Нижегородская д.2 стр.1",,,,2 556,,,,,,
2723,Перекрёсток,"Самарская обл., г. Самара ул. Солнечная, 24",,,,2 723,,,,,,
2225,Перекрёсток,"г.Москва, Шмитовский проезд,  д 16, кор 2",,,,2 225,,,,,,
2101,Перекрёсток,"г.Москва, ул. Профсоюзная, д.61 А",,,,2 101,,,,,,
2144,Перекрёсток,"Санкт-Петербург, ул. Пражская, 48/50",,,,2 144,,,,,,
В41G,Перекрёсток,#Н/Д,,,,В41G,,,,,,
2107,Перекрёсток,"г.Москва, ул. Шаболовка, д. 10",,,,2 107,,,,,,
2134,Перекрёсток,"Санкт-Петербург, пр-кт. Комендантский, 33",,,,2 134,,,,,,
2032,Перекрёсток,"г.Москва, ул. Домодедовская, д. 28",,,,2 032,,,,,,
В338,Перекрёсток,#Н/Д,,,,В338,,,,,,
2607,Перекрёсток,"г. Москва, Боровское ш.,35",,,,2 607,,,,,,
В346,Перекрёсток,#Н/Д,,,,В346,,,,,,
В152,Перекрёсток,#Н/Д,,,,В152,,,,,,
2019,Перекрёсток,"г.Москва, ул. Удальцова, д. 42 ",,,,2 019,,,,,,
2641,Перекрёсток,"г.Москва, п.Внуковское, ул. Лётчика Ульянина, дом. 5",,,,2 641,,,,,,
2064,Перекрёсток,"г.Москва, Кутузовский проспект, д. 88",,,,2 064,,,,,,
2503,Перекрёсток,"г.Нижний Новгород Гагарина пр-т  228. ",,,,2 503,,,,,,
2833,Перекрёсток,"г. Москва, ул. Генерала Кузнецова, дом 22",,,,2 833,,,,,,
В124,Перекрёсток,#Н/Д,,,,В124,,,,,,
2418,Перекрёсток,"г.Москва, Шереметьевская 6, стр.1",,,,2 418,,,,,,
B180,Перекрёсток,"МО, г.Долгопрудный, Лихачевское шоссе, ТЦ Город",,,,B180,,,,,,
B128,Перекрёсток,"г. Москва, ул. Академика Варги 8, корп 1",,,,B128,,,,,,
2668,Перекрёсток,"г.Москва, Новомосковский Административный округ, п.Коммунарка, ул. Александры Монаховой влад.30 стр.2",,,,2 668,,,,,,
2109,Перекрёсток,"г. Москва, ул. Гарибальди, д. 23",,,,2 109,,,,,,
B114,Перекрёсток,"г.Москва, Ореховый б-р д.14 к.3",,,,B114,,,,,,
2729,Перекрёсток,"МО, Видное, Берёзовая, 8",,,,2 729,,,,,,
2484,Перекрёсток,"г.Москва,  пр-кт Вернадского 86а",,,,2 484,,,,,,
2053,Перекрёсток,"г.Москва, ул. Раменки, д. 3",,,,2 053,,,,,,
B124,Перекрёсток,"г. Москва, ул. Краснодарская, дом 51, корп. 2",,,,B124,,,,,,
B41G,Перекрёсток,"Санкт-Петербург, Петергофское ш-е, д. 51, лит. А /WINTER",,,,B41G,,,,,,
В202,Перекрёсток,#Н/Д,,,,В202,,,,,,
2119,Перекрёсток,#Н/Д,,,,2 119,,,,,,
В245,Перекрёсток,#Н/Д,,,,В245,,,,,,
2131,Перекрёсток,#Н/Д,,,,2 131,,,,,,
2781,Перекрёсток,#Н/Д,,,,2 781,,,,,,
2076,Перекрёсток,#Н/Д,,,,2 076,,,,,,
2341,Перекрёсток,#Н/Д,,,,2 341,,,,,,
2068,Перекрёсток,"г. Москва, пл. Киевского Вокзала, дом 2",,,,2 068,,,,,,
В132,Перекрёсток,#Н/Д,,,,В132,,,,,,
В180,Перекрёсток,#Н/Д,,,,В180,,,,,,
В128,Перекрёсток,#Н/Д,,,,В128,,,,,,
В171,Перекрёсток,#Н/Д,,,,В171,,,,,,
В266,Перекрёсток,#Н/Д,,,,В266,,,,,,
2654,Перекрёсток,#Н/Д,,,,2 654,,,,,,
В241,Перекрёсток,#Н/Д,,,,В241,,,,,,
2997,Перекрёсток,#Н/Д,,,,2 997,,,,,,
2427,Перекрёсток,#Н/Д,,,,2 427,,,,,,
2302,Перекрёсток,"Самарская обл., г. Самара, ул. Солнечная, 60/ 126, 9 просека",,,,2 302,,,,,,
2157,Перекрёсток,"Самарская обл., г. Самара, ул.Зои Космодемьянской, 7а",,,,2 157,,,,,,
2333,Перекрёсток,"г. Москва, Шипиловская ул., 50 1",,,,2 333,,,,,,
