Название,Сеть,Адрес,Город,Оборудование в магазине,Статус поддержки,tClients,name_combined
ПМ1,Патрик&Мари,"ул.Атарбекова, 5",Краснодар,ПМ1_ESL-SES,Архивный,,ПМ1
ПМ2,Патрик&Мари,"ул.Зиповская, 5\4",Краснодар,ПМ2_ESL-SES,Архивный,,ПМ2
ПМ3,Патрик&Мари,"ул.Кубано-Набережная, 35а",Краснодар,ПМ3_ESL-SES,Архивный,,ПМ3
ПМ4,Патрик&Мари,"ул.Проспект Чекистов, 17",Краснодар,ПМ4_ESL-SES,Архивный,,ПМ4
ПМ5,Патрик&Мари,"ул.Красная, 155",Краснодар,ПМ5_ESL-SES,Архивный,,ПМ5
ПМ6,Патрик&Мари,"ул.1 Мая, 168",Краснодар,ПМ6_ESL-SES,Архивный,,ПМ6
ПМ7,Патрик&Мари,"ул.Красная, 158",Краснодар,ПМ7_ESL-SES,Архивный,,ПМ7
ПМ8,Патрик&Мари,"ул.Красноармейская, 50",Краснодар,ПМ8_ESL-SES,Архивный,,ПМ8
ПМ9,Патрик&Мари,"ул.Шоссе Нефтяников, 63",Краснодар,ПМ9_ESL-ZKong,Архивный,,ПМ9
ПМ10,Патрик&Мари,"ул.Яна Полуяна, 43",Краснодар,ПМ10_ESL-SES,Архивный,,ПМ10
ПМ11,Патрик&Мари,"ул.Ставропольская, 140",Краснодар,ПМ11_ESL-ZKong,Архивный,,ПМ11
ПМ12,Патрик&Мари,ул.40 лет Победы 117,Краснодар,ПМ12_ESL-SES,Архивный,,ПМ12
ПМ13,Патрик&Мари,ул.3й Звенигородский проезд 81,Краснодар,ПМ13_ESL-SES,Архивный,,ПМ13
ПМ14,Патрик&Мари,ул.Петра Метальникова 3/1 к1,Краснодар,ПМ14_ESL-SES,Архивный,,ПМ14
ПМ15,Патрик&Мари,ул.Сормовская 108/2,Краснодар,ПМ15_ESL-SES,Архивный,,ПМ15
ПМ16,Патрик&Мари,ул.Красных Партизан 1/4 к2,Краснодар,ПМ16_ESL-SES,Архивный,,ПМ16
ПМ17,Патрик&Мари,ул.Кубанская 54,Краснодар,ПМ17_ESL-SES,Архивный,,ПМ17
ПМ 18,Патрик&Мари,"ул.Восточно-Кругликовская, 18",Краснодар,ПМ 18_ESL-SES,Архивный,,ПМ 18
ПМ 19,Патрик&Мари,Ст Динская ул. Красная 64,Краснодар,ПМ 19_ESL-ZKong,Архивный,,ПМ 19
ПМ20,Патрик&Мари,ул.40 лет Победы 33Г,Краснодар,ПМ20_ESL-ZKong,Архивный,,ПМ20
ПМ21,Патрик&Мари,"Сочи, ул.Московская 3к5",Сочи,ПМ21_ESL-ZKong,Архивный,,ПМ21
ПМ22,Патрик&Мари,бульвар Адмиралтейский 3/1,Краснодар,ПМ22_ESL-ZKong,Архивный,,ПМ22
Алексеева 24,Killer Price,г. Красноярск ул. Алексеева 24 оф. 41 магазин «Killprice»,Красноярск,Алексеева 24_ESL-ZKong,Архивный,,Алексеева 24
Варшавка 1,Smeg,"Варшавское ш., 1с1-2",Москва,Варшавка 1_ESL-SES,На поддержке,,Варшавка 1
Красный 22,Smeg,"Красный проспект, 22",Новосибирск,Красный 22_ESL-ZKong,На поддержке,,Красный 22
Зубовская 7,Miele,"   Зубовская ул., 7",Москва,Зубовская 7_ESL-ZKong,На гарантии,,Зубовская 7
6976,Пятёрочка,"г.Долгопрудный, Парковая ул., 36",МО,6976_ESL-SES,Нет активной поддержки,,6 976
3495,Пятёрочка,г. Хотьково,МО,3495_ESL-SES,Нет активной поддержки,,3 495
6462,Пятёрочка,г. Батайск ул. Тельмана 2б,Батайск,6462_ESL-SES,Нет активной поддержки,,6 462
L615,Пятёрочка,"г. Орел, ул. Металлургов 19",Орел,L615_ESL-SES,Нет активной поддержки,,L615
Y726,Пятёрочка,"г. Ярославль, Чкалова 2",Ярославль,Y726_ESL-SES,Нет активной поддержки,,Y726
5683,Пятёрочка,г. СПб Наставников 47,СПб,5683_ESL-SES,Нет активной поддержки,,5 683
4163,Пятёрочка,"г.Балашиха, Энтузиастов ш., 32",МО,4163_ESL-SES,Нет активной поддержки,,4 163
5085,Пятёрочка,"Рязань,Касимовское шоссе 25",Рязань,5085_ESL-SES,Нет активной поддержки,,5 085
4655,Пятёрочка,"г.Москва, Щепкина ул., 58 стр.3",Москва,4655_ESL-SES,Нет активной поддержки,,4 655
L260,Пятёрочка,"г. Н.Новгород, Фруктовая, 3",Нижний Новгород,L260_ESL-SES,Нет активной поддержки,,L260
3818,Пятёрочка,"г.Москва, Маршала Савицкого ул., 6А",Москва,3818_ESL-SES,Нет активной поддержки,,3 818
5285,Пятёрочка,"г. Химки, Сходня, Мичурина, д. 25",МО,5285_ESL-SES,Нет активной поддержки,,5 285
395b,Пятёрочка,"г. Краснодар Дальний пр. 11, корпус №1, пом.1-28.",Краснодар,395b_ESL-SES,Нет активной поддержки,,395b
j519,Пятёрочка,"Московская обл, Орехово-Зуевский р-н, Ликино-Дулево г, 1 Мая ул,4",МО,j519_ESL-SES,Нет активной поддержки,,j519
S596,Пятёрочка,"г.Долгопрудный, Академика Лаврентьева ул, 27",МО,S596_ESL-SES,Нет активной поддержки,,S596
6974,Пятёрочка,"г.Долгопрудный, Пацаева пр-т, 12",МО,6974_ESL-SES,Нет активной поддержки,,6 974
7803,Пятёрочка,"г.Долгопрудный, Спортивная ул., 5, к.1,п.Апте",МО,7803_ESL-SES,Нет активной поддержки,,7 803
33CF,Пятёрочка,"г. Москва, ул. Башиловская, д. 1, к. 1",Москва,33CF_ESL-ZKong,Нет активной поддержки,,33CF
33FN,Пятёрочка,"г. Москва, ул. Радиальная 6-я, д. 3, корп. 8",Москва,33FN_ESL-ZKong,Нет активной поддержки,,33FN
V,Пятёрочка,"г. Москва, Ильменский, 17к1,2",Москва,V_ESL-ZKong,Нет активной поддержки,,V
35YA,Пятёрочка,"г. Москва, Вятская, 27, 21",Москва,35YA_ESL-ZKong,Нет активной поддержки,,35YA
5216,Пятёрочка,"г. Москва, Хабаровская ул., 4",Москва,5216_ESL-ZKong,Нет активной поддержки,,5 216
5351,Пятёрочка,"г. Люберцы, Попова ул., 1",МО,5351_ESL-ZKong,Нет активной поддержки,,5 351
L603,Пятёрочка,"Большая Серпуховская улица, 46с34",Москва,L603_ESL-ZKong,Нет активной поддержки,,L603
3BSZ,Пятёрочка,"г. Москва, Очаковское шоссе д.5 к.4 (м. Аминьевское)",Москва,3BSZ_ESL-ZKong,Нет активной поддержки,,3BSZ
3BT0,Пятёрочка,"г. Москва, Барклая 6А корп. 1",Москва,3BT0_ESL-ZKong,Нет активной поддержки,,3BT0
3BV1,Пятёрочка,"г. Москва, Сосенское, А. Монаховой, 85к1",Москва,3BV1_ESL-ZKong,Нет активной поддержки,,3BV1
3BT1,Пятёрочка,"г. Москва, Давыдовская 10",Москва,3BT1_ESL-ZKong,Нет активной поддержки,,3BT1
3BS7,Пятёрочка,"г. Москва, Волоколамское ш. 71к4",Москва,3BS7_ESL-ZKong,Нет активной поддержки,,3BS7
329,МВидео,"Калужское шоссе, 21-й километр, с1. ТЦ Мега  ",Москва,329_ESL-SES,Поддержка не оплачена,,329
Аэропорт Сочи,Сочи DF,"   аэропорт Сочи  ",Сочи,Аэропорт Сочи_ESL-SES,Нет активной поддержки,,Аэропорт Сочи
201,Спортмастер,"Ленинградское ш., 16А, стр. 4",Москва,201_ESL-SES,Нет активной поддержки,,201
5780,Спортмастер,"Ходынский бул., 4",Москва,5780_ESL-SES,Нет активной поддержки,,5 780
6664,Спортмастер,"просп. Мира, 211, корп. 2",Москва,6664_ESL-SES,Нет активной поддержки,,6 664
159,Спортмастер,"Варшавское ш., д.129А",Москва,159_ESL-SES,Нет активной поддержки,,159
327,Спортмастер,"Ярославское ш. 21-й км, стр. 103",МО,327_ESL-SES,Нет активной поддержки,,327
5876,Спортмастер,"ул. Горная Карусель, 3, село Эстосадок",Сочи,5876_ESL-SES,Нет активной поддержки,,5 876
735,Спортмастер,"Пулковское ш., д.19Б",СПб,735_ESL-SES,Нет активной поддержки,,735
6659,Спортмастер,"1-й Покровский пр., 5, Котельники",Москва,6659_ESL-SES,Нет активной поддержки,,6 659
5306,Спортмастер,"ул. Новая заря 7, ТЦ Море Молл",Сочи,5306_ESL-SES,Нет активной поддержки,,5 306
285,Спортмастер,"ул. Шевченко, д.17/1",Новосибирск,285_ESL-SES,Нет активной поддержки,,285
6924,Спортмастер,"ул. Репина, 94",Екатеринбург,6924_ESL-SES,Нет активной поддержки,,6 924
6972,Спортмастер," Бетанкура ул., д. 3В",Нижний Новгород,6972_ESL-SES,Нет активной поддержки,,6 972
1075004,Теле-2,"г. Ижевск, ул. Удмуртская, д. 255б",,1075004_ESL-SES,На поддержке,Ижевский филиал   Т2 Мобайл ООО,1 075 004
848049,Теле-2,"г. Ижевск, ул. Ленина, д. 138 (ТЦ «КИТ»)",,848049_ESL-SES,На поддержке,Ижевский филиал   Т2 Мобайл ООО,848 049
1001879,Теле-2,"г. Ижевск, ул. Петрова, д. 29",,1001879_ESL-SES,На поддержке,Ижевский филиал   Т2 Мобайл ООО,1 001 879
1052070,Теле-2,"г. Ижевск, ул. Холмогорова, д. 11, ТРК «Талисман»",,1052070_ESL-SES,На поддержке,Ижевский филиал   Т2 Мобайл ООО,1 052 070
771318,Теле-2,"г. Казань, пр-т Победы, д. 91",,771318_ESL-ZKong,Нет активной поддержки,"Казанский филиал ООО ""Т2 Мобайл""",771 318
1017612,Теле-2,"г. Казань, ул. Павлюхина, д. 91",,1017612_ESL-SES,На поддержке,"Казанский филиал ООО ""Т2 Мобайл""",1 017 612
133119,Теле-2,"г. Казань, ул. Николая Ершова, д. 62",,133119_ESL-ZKong,На поддержке,"Казанский филиал ООО ""Т2 Мобайл""",133 119
1076665,Теле-2,"г. Набережные Челны, пр-т  Мира, д. 3, ТЦ Торговый квартал",,1076665_ESL-SES,На поддержке,"Казанский филиал ООО ""Т2 Мобайл""",1 076 665
1038422,Теле-2,"г. Новокуйбышевск, пр-т Победы, д. 1Ж",,1038422_ESL-SES,На поддержке,"Самарский   филиал ООО ""Т2 Мобайл""",1 038 422
1071536,Теле-2,"г. Киров, ул. Горького, д. 5а,  ТЦ ДжемМолл",,1071536_ESL-SES,На поддержке,Кировский филиал Т2 Мобайл ООО,1 071 536
1082902,Теле-2,"г. Киров, ул. Луганская, д. 53/2",,1082902_ESL-SES,Архивный,Кировский филиал Т2 Мобайл ООО,1 082 902
1037730,Теле-2,"г. Нижний Новгород, ул. Горького, д. 1",,1037730_ESL-SES,Архивный,Кировский филиал Т2 Мобайл ООО,1 037 730
753711,Теле-2,"г. Нижний Новгород, ул. Родионова, д. 187В, ТЦ Фантастика",,753711_ESL-SES,Нет активной поддержки,Нижний Новгород Т2 МОБАЙЛ ООО,753 711
989314,Теле-2,"г. Нижний Новгород, пл. Революции, д. 9, ТЦ Республика",,989314_ESL-SES,На поддержке,Нижний Новгород Т2 МОБАЙЛ ООО,989 314
1066838,Теле-2,"г. Нижний Новгород, ул. Гагарина, д. 35",,1066838_ESL-SES,На поддержке,Нижний Новгород Т2 МОБАЙЛ ООО,1 066 838
774607,Теле-2,"г. Ульяновск, ул. Гончарова, д. 23",,774607_ESL-SES,На поддержке,"Ульяновский  филиал ООО ""Т2 Мобайл""",774 607
750453,Теле-2,"г. Ульяновск,  Московское ш., д. 108",,750453_ESL-SES,На поддержке,"Ульяновский  филиал ООО ""Т2 Мобайл""",750 453
754122,Теле-2,"г. Ульяновск, Ульяновский пр-т, д. 1",,754122_ESL-SES,На поддержке,"Ульяновский  филиал ООО ""Т2 Мобайл""",754 122
751522,Теле-2,"г. Чебоксары, ул. Калинина, д. 105а",,751522_ESL-SES,На поддержке,"Чебоксарский филиал ООО ""Т2 МОБАЙЛ""",751 522
144766,Теле-2,"г. Нижний Новгород, ул. Гордеевская, 2А",,144766_,Нет активной поддержки,Нижний Новгород Т2 МОБАЙЛ ООО,144 766
889402,Теле-2,"г. Владивосток, пр-т 100-летия Владивостоку, д. 43",,889402_ESL-SES,На поддержке,"Приморский филиал ООО Т2 Мобайл""",889 402
738936,Теле-2,"г. Владивосток, ул. Луговая, д. 18",,738936_ESL-SES,На поддержке,"Приморский филиал ООО Т2 Мобайл""",738 936
78865,Теле-2,"г. Южно-Сахалинск, ул. Ленина, д. 196",,78865_ESL-SES,На поддержке,"Сахалинский филиал ООО ""Т2 Мобайл""",78 865
1002168,Теле-2,"г. Улан-Удэ, ул. Ленина , д. 26",,1002168_ESL-SES,На поддержке,Бурятский филиал Т2 МОБАЙЛ ООО,1 002 168
741366,Теле-2,"г. Улан-Удэ, ул. Жердева, д. 104",,741366_ESL-SES,На поддержке,Бурятский филиал Т2 МОБАЙЛ ООО,741 366
747383,Теле-2,"Иркутская обл., г. Ангарск, 8-й мкрн,, д. 1",,747383_ESL-ZKong,На поддержке,Иркутский филиал Т2 МОБАЙЛ ООО,747 383
746835,Теле-2,"Иркутская обл., г. Ангарск, квартал 58, д. 1",,746835_ESL-SES,На поддержке,Иркутский филиал Т2 МОБАЙЛ ООО,746 835
747392,Теле-2,"г. Иркутск, ул. Ленина, д. 25",,747392_ESL-SES,На поддержке,Иркутский филиал Т2 МОБАЙЛ ООО,747 392
812134,Теле-2,"г. Иркутск, ул. Литвинова, д. 17",,812134_ESL-SES,На поддержке,Иркутский филиал Т2 МОБАЙЛ ООО,812 134
113657,Теле-2,"г. Иркутск,ул. Сергеева, д. 3/5",,113657_ESL-ZKong,На поддержке,Иркутский филиал Т2 МОБАЙЛ ООО,113 657
1018178,Теле-2,"г. Иркутск,  Юбилейный мкрн, д. 19/1",,1018178_ESL-SES,На поддержке,Иркутский филиал Т2 МОБАЙЛ ООО,1 018 178
